	open	ma5	close	volume	ochl_1	ochl_2	ochl_3	ochl_4	ochl_5
1022	902.746	901.4752	907.318	1029465900.0	903.144	908.754	915.89	922.378	919.36
1023	902.049	897.8318	902.91	993632700.0	907.318	903.144	908.754	915.89	922.378
1024	895.827	894.9534	902.561	1145210700.0	902.91	907.318	903.144	908.754	915.89
1025	898.382	891.9128	896.434	1625978200.0	902.561	902.91	907.318	903.144	908.754
1026	888.604	887.4372	898.153	1386837600.0	896.434	902.561	902.91	907.318	903.144
1027	887.996	882.5742	889.101	1054723800.0	898.153	896.434	902.561	902.91	907.318
1028	887.064	877.969	888.518	1069928000.0	889.101	898.153	896.434	902.561	902.91
1029	873.693	872.1874	887.358	1271952600.0	888.518	889.101	898.153	896.434	902.561
1030	874.132	868.703	874.056	1025917400.0	887.358	888.518	889.101	898.153	896.434
1031	865.724	868.5052	873.838	984295500.0	874.056	887.358	888.518	889.101	898.153
1032	858.108	868.5026	866.075	1030351400.0	873.838	874.056	887.358	888.518	889.101
1033	869.427	869.5496	859.61	1028689700.0	866.075	873.838	874.056	887.358	888.518
1034	872.93	873.661	869.936	849202100.0	859.61	866.075	873.838	874.056	887.358
1035	873.474	876.4948	873.067	706923500.0	869.936	859.61	866.075	873.838	874.056
1036	870.452	878.18	873.825	804073800.0	873.067	869.936	859.61	866.075	873.838
1037	879.254	878.6608	871.31	841499400.0	873.825	873.067	869.936	859.61	866.075
1038	883.241	878.3222	880.167	973973500.0	871.31	873.825	873.067	869.936	859.61
1039	881.248	879.063	884.105	1300354600.0	880.167	871.31	873.825	873.067	869.936
1040	875.827	878.6902	881.493	1462900800.0	884.105	880.167	871.31	873.825	873.067
1041	868.005	874.9232	876.229	991692000.0	881.493	884.105	880.167	871.31	873.825
1042	883.931	872.3012	869.617	1059723600.0	876.229	881.493	884.105	880.167	871.31
1043	882.79	869.7048	883.871	1025996300.0	869.617	876.229	881.493	884.105	880.167
1044	862.579	865.3604	882.241	1759780300.0	883.871	869.617	876.229	881.493	884.105
1045	863.077	861.8702	862.658	881163700.0	882.241	883.871	869.617	876.229	881.493
1046	855.449	861.9322	863.119	906613800.0	862.658	882.241	883.871	869.617	876.229
1047	862.067	865.1588	856.635	825247800.0	863.119	862.658	882.241	883.871	869.617
1048	864.081	870.1366	862.149	627167400.0	856.635	863.119	862.658	882.241	883.871
1049	861.221	873.1624	864.79	921972000.0	862.149	856.635	863.119	862.658	882.241
1050	878.625	875.8766	862.968	1085377100.0	864.79	862.149	856.635	863.119	862.658
1051	881.513	878.198	879.252	1177440500.0	862.968	864.79	862.149	856.635	863.119
1052	876.432	878.8432	881.524	1012876100.0	879.252	862.968	864.79	862.149	856.635
1053	877.617	877.1114	877.278	771325900.0	881.524	879.252	862.968	864.79	862.149
1054	873.353	876.9122	878.361	956731000.0	877.278	881.524	879.252	862.968	864.79
1055	882.189	874.7858	874.575	1217918200.0	878.361	877.278	881.524	879.252	862.968
