date	open	ma5	high	close	low	volume
2014-11-28	2753.925	2724.229	2809.543	2808.819	2740.374	375323648.0
2014-11-27	2737.03	2679.156	2754.49	2754.49	2718.704	265464736.0
2014-11-26	2695.263	2635.678	2723.36	2723.018	2690.31	243962480.0
2014-11-25	2650.085	2598.519	2686.063	2685.561	2643.843	222611696.0
2014-11-24	2614.16	2569.69	2667.671	2649.258	2602.944	279839712.0
2014-11-21	2537.538	2553.259	2585.362	2583.455	2530.032	151028144.0
2014-11-20	2528.78	2552.786	2545.473	2537.099	2522.836	106149864.0
2014-11-19	2538.233	2561.317	2550.5	2537.223	2531.318	122146976.0
2014-11-18	2565.273	2572.736	2570.211	2541.416	2534.927	142941360.0
2014-11-17	2613.513	2576.175	2614.086	2567.101	2565.943	158478096.0
2014-11-14	2569.211	2575.901	2581.932	2581.093	2557.666	165049968.0
2014-11-13	2597.389	2560.113	2607.519	2579.75	2567.463	219815616.0
2014-11-12	2545.403	2545.376	2594.318	2594.318	2539.601	184686256.0
2014-11-11	2578.438	2527.202	2602.373	2558.612	2532.572	323711648.0
2014-11-10	2529.83	2518.114	2565.73	2565.73	2514.71	226599728.0
2014-11-07	2508.765	2507.478	2541.549	2502.153	2489.419	208760912.0
2014-11-06	2505.167	2508.712	2510.985	2506.067	2482.983	149651120.0
2014-11-05	2516.87	2501.284	2519.399	2503.448	2499.228	190491856.0
2014-11-04	2511.036	2490.871	2517.46	2513.172	2498.605	218247008.0
2014-11-03	2515.824	2471.567	2524.172	2512.548	2502.06	205801232.0
2014-10-31	2473.501	2442.824	2512.189	2508.325	2466.504	239172416.0
2014-10-30	2450.361	2419.3	2474.376	2468.925	2443.759	189626352.0
2014-10-29	2423.813	2404.702	2461.268	2451.384	2415.703	158584064.0
2014-10-28	2373.155	2398.154	2416.766	2416.653	2373.155	101523056.0
2014-10-27	2377.542	2401.501	2377.542	2368.832	2361.68	73862448.0
2014-10-24	2397.848	2418.677	2404.993	2390.706	2385.725	74974872.0
2014-10-23	2415.44	2428.882	2424.662	2395.936	2392.532	103491840.0
2014-10-22	2434.886	2438.574	2447.467	2418.641	2417.562	88656192.0
2014-10-21	2453.406	2447.621	2459.255	2433.391	2432.552	96241912.0
2014-10-20	2448.453	2450.255	2456.621	2454.711	2441.896	91435400.0
2014-10-17	2443.222	2450.302	2456.105	2441.732	2410.401	132759984.0
2014-10-16	2448.968	2455.313	2480.3	2444.395	2441.822	158166608.0
2014-10-15	2444.538	2462.825	2465.498	2463.874	2431.188	135801888.0
2014-10-14	2451.094	2465.727	2467.904	2446.562	2436.336	127393704.0
2014-10-13	2457.412	2466.612	2460.389	2454.946	2430.546	131593360.0
2014-10-10	2472.096	2465.183	2482.136	2466.789	2457.684	147634304.0
2014-10-09	2480.197	2459.265	2488.113	2481.955	2461.112	137923920.0
2014-10-08	2460.87	2450.267	2478.383	2478.383	2445.268	121953600.0
2014-09-30	2452.166	2442.963	2454.885	2450.988	2444.204	115804232.0
2014-09-29	2443.91	2432.658	2453.665	2447.799	2435.611	123401728.0
2014-09-26	2430.808	2418.882	2439.649	2437.201	2420.499	100299496.0
2014-09-25	2453.423	2416.484	2462.668	2436.965	2429.587	138661888.0
2014-09-24	2391.419	2410.824	2443.978	2441.864	2387.07	142713536.0
2014-09-23	2379.521	2402.717	2402.482	2399.462	2379.521	84033344.0
2014-09-22	2419.326	2400.577	2419.326	2378.92	2374.108	102240872.0
2014-09-19	2409.313	2412.231	2430.149	2425.211	2402.313	101813576.0
2014-09-18	2396.379	2414.86	2414.946	2408.664	2389.622	115926376.0
2014-09-17	2395.361	2417.818	2405.371	2401.326	2379.091	125269024.0
2014-09-16	2440.339	2424.04	2442.924	2388.765	2386.98	186742784.0
2014-09-15	2433.001	2435.332	2439.254	2437.189	2418.959	122247160.0
2014-09-12	2418.752	2437.746	2438.358	2438.358	2412.622	109160168.0
2014-09-11	2430.678	2435.319	2461.473	2423.454	2417.269	132982584.0
2014-09-10	2435.593	2432.396	2437.081	2432.433	2422.646	109175520.0
